,location,eventType,dt,event_name,event_date,dates
28,COLONIAL AVENUE & W 26TH STREET,Flooded street,2010-09-30 09:18:10,Nicole-2010-09-30,2010-09-30,2010-09-30
29,ARGONNE AVENUE & KITCHENER AVENUE,Flooded street,2010-09-30 09:18:50,Nicole-2010-09-30,2010-09-30,2010-09-30
30,6200 BLOCK OF GENEVA WAY,Flooded street,2010-09-30 09:56:04,Nicole-2010-09-30,2010-09-30,2010-09-30
31,CHESAPEAKE BOULEVARD & FISHERMANS ROAD,Flooded street,2010-09-30 09:57:12,Nicole-2010-09-30,2010-09-30,2010-09-30
32,2000 BLOCK OF E OCEAN VIEW AVENUE,Flooded street,2010-09-30 09:57:33,Nicole-2010-09-30,2010-09-30,2010-09-30
33,6600 BLOCK OF AZALEA GARDEN ROAD,Flooded street,2010-09-30 09:58:38,Nicole-2010-09-30,2010-09-30,2010-09-30
34,1000 BLOCK OF WARWICK AVENUE,Flooded street,2010-09-30 09:59:42,Nicole-2010-09-30,2010-09-30,2010-09-30
35,700 BLOCK OF EUWANEE PLACE,Flooded street,2010-09-30 10:00:01,Nicole-2010-09-30,2010-09-30,2010-09-30
36,100 BLOCK OF E WESTMONT AVENUE,Flooded street,2010-09-30 10:00:41,Nicole-2010-09-30,2010-09-30,2010-09-30
37,E BAYVIEW BOULEVARD & STURGIS STREET,Flooded street,2010-09-30 10:01:19,Nicole-2010-09-30,2010-09-30,2010-09-30
38,CHESAPEAKE BOULEVARD & MIDDLETON PLACE,Flooded street,2010-09-30 10:01:57,Nicole-2010-09-30,2010-09-30,2010-09-30
39,6500 BLOCK OF CHESAPEAKE BOULEVARD,Flooded street,2010-09-30 10:02:38,Nicole-2010-09-30,2010-09-30,2010-09-30
40,6200 BLOCK OF EDWARD STREET,Flooded street,2010-09-30 10:02:55,Nicole-2010-09-30,2010-09-30,2010-09-30
41,2400 BLOCK OF SEWELLS POINT ROAD,Flooded street,2010-09-30 10:03:14,Nicole-2010-09-30,2010-09-30,2010-09-30
42,ALDER STREET & DENVER AVENUE,Flooded street,2010-09-30 10:03:58,Nicole-2010-09-30,2010-09-30,2010-09-30
43,TABB STREET & TIDEWATER DRIVE,Flooded street,2010-09-30 10:05:44,Nicole-2010-09-30,2010-09-30,2010-09-30
44,1600 BLOCK OF MORRIS AVENUE,Flooded street,2010-09-30 10:09:12,Nicole-2010-09-30,2010-09-30,2010-09-30
45,E OCEAN VIEW AVENUE & STURGIS STREET,Flooded street,2010-09-30 10:36:11,Nicole-2010-09-30,2010-09-30,2010-09-30
46,401 MONTICELLO AVENUE,Flooded street,2010-09-30 10:38:46,Nicole-2010-09-30,2010-09-30,2010-09-30
47,E 9TH STREET & MONTICELLO AVENUE,Flooded street,2010-09-30 11:36:31,Nicole-2010-09-30,2010-09-30,2010-09-30
48,MARTONE ROAD & OLEO ROAD,Flooded street,2010-09-30 11:43:20,Nicole-2010-09-30,2010-09-30,2010-09-30
49,900 BLOCK OF BOTETOURT GARDENS,Flooded street,2010-09-30 11:52:23,Nicole-2010-09-30,2010-09-30,2010-09-30
50,810 UNION STREET,Flooded street,2010-09-30 11:59:04,Nicole-2010-09-30,2010-09-30,2010-09-30
51,1600 BLOCK OF MADISON AVENUE,Flooded street,2010-09-30 12:25:30,Nicole-2010-09-30,2010-09-30,2010-09-30
52,900 BLOCK OF MADISON AVENUE,Flooded street,2010-09-30 12:30:31,Nicole-2010-09-30,2010-09-30,2010-09-30
53,E BRAMBLETON AVENUE & TIDEWATER DRIVE,Flooded street,2010-09-30 12:31:08,Nicole-2010-09-30,2010-09-30,2010-09-30
54,CHURCH STREET & E BRAMBLETON AVENUE,Flooded street,2010-09-30 12:31:42,Nicole-2010-09-30,2010-09-30,2010-09-30
55,CHAPEL STREET & E BRAMBLETON AVENUE,Flooded street,2010-09-30 12:32:34,Nicole-2010-09-30,2010-09-30,2010-09-30
56,E BRAMBLETON AVENUE & ROSWELL AVENUE,Flooded street,2010-09-30 12:32:49,Nicole-2010-09-30,2010-09-30,2010-09-30
57,E BRAMBLETON AVENUE & LANDING STREET,Flooded street,2010-09-30 12:33:08,Nicole-2010-09-30,2010-09-30,2010-09-30
58,EVELYN T BUTTS AVENUE & AVENUE J,Flooded street,2010-09-30 12:53:11,Nicole-2010-09-30,2010-09-30,2010-09-30
59,BERKLEY AVENUE EX & CAMPOSTELLA ROAD,Flooded street,2010-09-30 12:58:15,Nicole-2010-09-30,2010-09-30,2010-09-30
60,800 BLOCK OF TIDEWATER DRIVE,Flooded street,2010-09-30 13:09:37,Nicole-2010-09-30,2010-09-30,2010-09-30
61,700 BLOCK OF TIDEWATER DRIVE,Flooded street,2010-09-30 13:10:03,Nicole-2010-09-30,2010-09-30,2010-09-30
62,GRANBY STREET & E WESTMONT AVENUE,Flooded street,2010-09-30 13:10:20,Nicole-2010-09-30,2010-09-30,2010-09-30
63,400 BLOCK OF TIDEWATER DRIVE,Flooded street,2010-09-30 13:11:53,Nicole-2010-09-30,2010-09-30,2010-09-30
64,500 BLOCK OF TIDEWATER DRIVE,Flooded street,2010-09-30 13:12:16,Nicole-2010-09-30,2010-09-30,2010-09-30
65,600 BLOCK OF TIDEWATER DRIVE,Flooded street,2010-09-30 13:13:08,Nicole-2010-09-30,2010-09-30,2010-09-30
66,JOHNSTONS ROAD & NORTH GATE DRIVE,Flooded street,2010-09-30 13:24:36,Nicole-2010-09-30,2010-09-30,2010-09-30
67,1800 BLOCK OF E LITTLE CREEK ROAD,Flooded street,2010-09-30 13:56:29,Nicole-2010-09-30,2010-09-30,2010-09-30
68,DEBREE AVENUE & W 29TH STREET,Flooded street,2010-09-30 14:13:56,Nicole-2010-09-30,2010-09-30,2010-09-30
69,3900 BLOCK OF PLEASANT AVENUE,Flooded street,2010-09-30 15:33:17,Nicole-2010-09-30,2010-09-30,2010-09-30
70,2700 BLOCK OF PLEASANT AVENUE,Flooded street,2010-09-30 15:34:56,Nicole-2010-09-30,2010-09-30,2010-09-30
71,9500 BLOCK OF 15TH BAY STREET,Flooded street,2010-09-30 15:37:17,Nicole-2010-09-30,2010-09-30,2010-09-30
72,19TH BAY STREET & PLEASANT AVENUE,Flooded street,2010-09-30 15:43:44,Nicole-2010-09-30,2010-09-30,2010-09-30
73,20TH BAY STREET & PLEASANT AVENUE,Flooded street,2010-09-30 15:44:43,Nicole-2010-09-30,2010-09-30,2010-09-30
74,7TH BAY STREET & PLEASANT AVENUE,Flooded street,2010-09-30 15:45:27,Nicole-2010-09-30,2010-09-30,2010-09-30
75,8TH BAY STREET & PLEASANT AVENUE,Flooded street,2010-09-30 15:45:46,Nicole-2010-09-30,2010-09-30,2010-09-30
76,E LITTLE CREEK ROAD & FORT WORTH AVENUE,Flooded street,2010-09-30 15:57:15,Nicole-2010-09-30,2010-09-30,2010-09-30
77,COLONIAL AVENUE & W PRINCESS ANNE ROAD,Flooded street,2010-09-30 16:34:46,Nicole-2010-09-30,2010-09-30,2010-09-30
78,BLOW STREET & W PRINCESS ANNE ROAD,Flooded street,2010-09-30 16:35:38,Nicole-2010-09-30,2010-09-30,2010-09-30
79,E VIRGINIA BEACH BOULEVARD & MAY AVENUE,Flooded street,2010-09-30 16:38:04,Nicole-2010-09-30,2010-09-30,2010-09-30
80,CECELIA STREET & E OLNEY ROAD,Flooded street,2010-09-30 16:39:30,Nicole-2010-09-30,2010-09-30,2010-09-30
81,E OLNEY ROAD & MALTBY CRESCENT,Flooded street,2010-09-30 16:44:52,Nicole-2010-09-30,2010-09-30,2010-09-30
82,GRANBY STREET & W PRINCESS ANNE ROAD,Flooded street,2010-09-30 17:03:35,Nicole-2010-09-30,2010-09-30,2010-09-30
83,E VIRGINIA BEACH BOULEVARD & PARK AVENUE,Flooded street,2010-09-30 17:04:15,Nicole-2010-09-30,2010-09-30,2010-09-30
84,E BRAMBLETON AVENUE & PARK AVENUE,Flooded street,2010-09-30 17:05:46,Nicole-2010-09-30,2010-09-30,2010-09-30
85,LAFAYETTE BOULEVARD & VERDUN AVENUE,Flooded street,2010-09-30 17:35:07,Nicole-2010-09-30,2010-09-30,2010-09-30
86,LAFAYETTE BOULEVARD & LENS AVENUE,Flooded street,2010-09-30 17:35:25,Nicole-2010-09-30,2010-09-30,2010-09-30
87,BIRCH STREET & ROBIN HOOD ROAD,Flooded street,2010-09-30 17:48:23,Nicole-2010-09-30,2010-09-30,2010-09-30
88,5900 BLOCK OF POPLAR HALL DRIVE,Flooded street,2010-09-30 17:50:58,Nicole-2010-09-30,2010-09-30,2010-09-30
89,E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE,Flooded street,2010-10-01 03:55:34,Nicole-2010-09-30,2010-09-30,2010-10-01
90,E BRAMBLETON AVENUE & TIDEWATER DRIVE,Flooded street,2010-10-01 03:56:31,Nicole-2010-09-30,2010-09-30,2010-10-01
91,600 BLOCK OF RESERVOIR AVENUE,Flooded street,2010-10-01 03:57:20,Nicole-2010-09-30,2010-09-30,2010-10-01
92,9500 BLOCK OF 10TH BAY STREET,Flooded street,2010-10-01 04:08:58,Nicole-2010-09-30,2010-09-30,2010-10-01
93,21ST BAY STREET & PRETTY LAKE AVENUE,Flooded street,2010-10-01 04:09:35,Nicole-2010-09-30,2010-09-30,2010-10-01
94,16TH BAY STREET & PLEASANT AVENUE,Flooded street,2010-10-01 04:10:08,Nicole-2010-09-30,2010-09-30,2010-10-01
95,19TH BAY STREET & PLEASANT AVENUE,Flooded street,2010-10-01 04:10:44,Nicole-2010-09-30,2010-09-30,2010-10-01
96,8500 BLOCK OF GRANBY STREET,Flooded street,2010-10-01 07:33:53,Nicole-2010-09-30,2010-09-30,2010-10-01
97,1224 HANSON AVENUE,Flooded street,2010-10-01 08:07:20,Nicole-2010-09-30,2010-09-30,2010-10-01
98,2500 BLOCK OF WOOLSEY STREET,Flooded street,2010-10-01 09:18:43,Nicole-2010-09-30,2010-09-30,2010-10-01
99,19TH BAY STREET & PLEASANT AVENUE,Flooded street,2010-10-04 07:50:37,Nicole-2010-09-30,2010-09-30,2010-10-04
100,2200 BLOCK OF KIMBALL TERRACE,Flooded street,2010-10-04 08:24:00,Nicole-2010-09-30,2010-09-30,2010-10-04
101,CROMWELL ROAD & LAFAYETTE BOULEVARD,Flooded street,2010-12-16 13:32:35,Snow-2010-12-16,2010-12-16,2010-12-16
102,1122 AZALEA GARDEN ROAD,Flooded street,2010-12-16 14:01:38,Snow-2010-12-16,2010-12-16,2010-12-16
103,2205 MCKANN AVENUE,Flooded street,2011-08-24 13:53:09,Irene-2011-08-27,2011-08-27,2011-08-24
104,E 21ST STREET & MONTICELLO AVENUE,Flooded street,2011-08-27 06:08:00,Irene-2011-08-27,2011-08-27,2011-08-27
105,E 22ND STREET & MONTICELLO AVENUE,Flooded street,2011-08-27 06:27:17,Irene-2011-08-27,2011-08-27,2011-08-27
106,MONTICELLO AVENUE & E 23RD STREET,Flooded street,2011-08-27 06:32:02,Irene-2011-08-27,2011-08-27,2011-08-27
107,MONTICELLO AVENUE & E 24TH STREET,Flooded street,2011-08-27 06:35:50,Irene-2011-08-27,2011-08-27,2011-08-27
108,MONTICELLO AVENUE & E 25TH STREET,Flooded street,2011-08-27 06:36:45,Irene-2011-08-27,2011-08-27,2011-08-27
109,900 BLOCK OF BAGNALL ROAD,Flooded street,2011-08-27 06:48:08,Irene-2011-08-27,2011-08-27,2011-08-27
110,BOUSH STREET & W OLNEY ROAD,Flooded street,2011-08-27 08:32:00,Irene-2011-08-27,2011-08-27,2011-08-27
111,W OLNEY ROAD & W VIRGINIA BEACH BOULEVARD,Flooded street,2011-08-27 08:34:34,Irene-2011-08-27,2011-08-27,2011-08-27
112,1600 BLOCK OF MELON STREET,Flooded street,2011-08-27 08:50:31,Irene-2011-08-27,2011-08-27,2011-08-27
113,GRACE STREET & YARMOUTH STREET,Flooded street,2011-08-27 09:27:23,Irene-2011-08-27,2011-08-27,2011-08-27
114,DELAWARE AVENUE & LLEWELLYN AVENUE,Flooded street,2011-08-27 09:37:07,Irene-2011-08-27,2011-08-27,2011-08-27
115,4600 BLOCK OF MAYFLOWER ROAD,Flooded street,2011-08-27 09:38:10,Irene-2011-08-27,2011-08-27,2011-08-27
116,400 BLOCK OF TIDEWATER DRIVE,Flooded street,2011-08-27 09:46:02,Irene-2011-08-27,2011-08-27,2011-08-27
117,DUKE STREET & W VIRGINIA BEACH BOULEVARD,Flooded street,2011-08-27 09:54:51,Irene-2011-08-27,2011-08-27,2011-08-27
118,BOUSH STREET & W VIRGINIA BEACH BOULEVARD,Flooded street,2011-08-27 09:56:52,Irene-2011-08-27,2011-08-27,2011-08-27
119,7TH BAY STREET & PRETTY LAKE AVENUE,Flooded street,2011-08-27 10:04:13,Irene-2011-08-27,2011-08-27,2011-08-27
120,3RD BAY STREET & PRETTY LAKE AVENUE,Flooded street,2011-08-27 10:07:19,Irene-2011-08-27,2011-08-27,2011-08-27
121,300 BLOCK OF E LITTLE CREEK ROAD,Flooded street,2011-08-27 10:08:27,Irene-2011-08-27,2011-08-27,2011-08-27
122,I-264W HIGHWAY & BALLENTINE BOULEVARD,Flooded street,2011-08-27 11:13:32,Irene-2011-08-27,2011-08-27,2011-08-27
123,TIDEWATER DRIVE & WILLOW WOOD DRIVE,Flooded street,2011-08-27 11:14:24,Irene-2011-08-27,2011-08-27,2011-08-27
124,E VIRGINIA BEACH BOULEVARD & PARK AVENUE,Flooded street,2011-08-27 11:22:29,Irene-2011-08-27,2011-08-27,2011-08-27
125,E BRAMBLETON AVENUE & I-264W HIGHWAY,Flooded street,2011-08-27 11:23:47,Irene-2011-08-27,2011-08-27,2011-08-27
126,SCOTT STREET & TRANT AVENUE,Flooded street,2011-08-27 11:26:30,Irene-2011-08-27,2011-08-27,2011-08-27
127,1100 BLOCK OF MARINER STREET,Flooded street,2011-08-27 11:27:34,Irene-2011-08-27,2011-08-27,2011-08-27
128,CHESAPEAKE BOULEVARD & FISHERMANS ROAD,Flooded street,2011-08-27 12:00:46,Irene-2011-08-27,2011-08-27,2011-08-27
129,CAMPOSTELLA ROAD & E BRAMBLETON AVENUE,Flooded street,2011-08-27 12:06:45,Irene-2011-08-27,2011-08-27,2011-08-27
130,E PRINCESS ANNE ROAD & SALTER STREET,Flooded street,2011-08-27 12:21:44,Irene-2011-08-27,2011-08-27,2011-08-27
131,E PRINCESS ANNE ROAD & MONTICELLO AVENUE,Flooded street,2011-08-27 12:22:20,Irene-2011-08-27,2011-08-27,2011-08-27
132,GOFF STREET & OKEEFE STREET,Flooded street,2011-08-27 12:57:17,Irene-2011-08-27,2011-08-27,2011-08-27
133,B AVENUE & SUTTON STREET,Flooded street,2011-08-27 12:58:13,Irene-2011-08-27,2011-08-27,2011-08-27
134,6345 EDWARD STREET,Flooded street,2011-08-27 13:00:07,Irene-2011-08-27,2011-08-27,2011-08-27
135,MORTON AVENUE & W 25TH STREET,Flooded street,2011-08-27 13:46:37,Irene-2011-08-27,2011-08-27,2011-08-27
136,1200 BLOCK OF GOFF STREET,Flooded street,2011-08-27 13:49:46,Irene-2011-08-27,2011-08-27,2011-08-27
137,17TH STREET & MONTICELLO AVENUE,Flooded street,2011-08-27 14:17:44,Irene-2011-08-27,2011-08-27,2011-08-27
138,300 BLOCK OF S NEWTOWN ROAD,Flooded street,2011-08-27 14:57:20,Irene-2011-08-27,2011-08-27,2011-08-27
139,6100 BLOCK OF SEWELLS POINT ROAD,Flooded street,2011-08-27 15:02:15,Irene-2011-08-27,2011-08-27,2011-08-27
140,1400 BLOCK OF KEMPSVILLE ROAD,Flooded street,2011-08-27 15:08:46,Irene-2011-08-27,2011-08-27,2011-08-27
141,1200 BLOCK OF STRAND STREET,Flooded street,2011-08-27 15:30:58,Irene-2011-08-27,2011-08-27,2011-08-27
142,9500 BLOCK OF 5TH BAY STREET,Flooded street,2011-08-27 15:34:11,Irene-2011-08-27,2011-08-27,2011-08-27
143,6200 BLOCK OF SEWELLS POINT ROAD,Flooded street,2011-08-27 15:59:45,Irene-2011-08-27,2011-08-27,2011-08-27
144,4200 BLOCK OF GRANBY STREET,Flooded street,2011-08-27 16:18:01,Irene-2011-08-27,2011-08-27,2011-08-27
145,GRANBY STREET & LLEWELLYN AVENUE,Flooded street,2011-08-27 16:57:32,Irene-2011-08-27,2011-08-27,2011-08-27
146,DELAWARE AVENUE & MAYFLOWER ROAD,Flooded street,2011-08-27 18:00:26,Irene-2011-08-27,2011-08-27,2011-08-27
147,I-264E HIGHWAY & TIDEWATER DRIVE,Flooded street,2011-08-27 19:00:03,Irene-2011-08-27,2011-08-27,2011-08-27
148,E OCEAN VIEW AVENUE & SHORE DRIVE,Flooded street,2011-08-27 19:28:25,Irene-2011-08-27,2011-08-27,2011-08-27
149,38TH STREET & POWHATAN AVENUE,Flooded street,2011-08-27 19:52:46,Irene-2011-08-27,2011-08-27,2011-08-27
150,43RD STREET & POWHATAN AVENUE,Flooded street,2011-08-27 19:53:16,Irene-2011-08-27,2011-08-27,2011-08-27
151,7200 BLOCK OF HAMPTON BOULEVARD,Flooded street,2011-08-27 20:06:23,Irene-2011-08-27,2011-08-27,2011-08-27
152,4TH VIEW STREET & W OCEAN VIEW AVENUE,Flooded street,2011-08-27 20:45:47,Irene-2011-08-27,2011-08-27,2011-08-27
153,NORVIEW AVENUE & TIDEWATER DRIVE,Flooded street,2011-08-27 20:46:12,Irene-2011-08-27,2011-08-27,2011-08-27
154,5TH VIEW STREET & W OCEAN VIEW AVENUE,Flooded street,2011-08-27 20:46:25,Irene-2011-08-27,2011-08-27,2011-08-27
155,15TH VIEW STREET & W OCEAN VIEW AVENUE,Flooded street,2011-08-27 20:46:51,Irene-2011-08-27,2011-08-27,2011-08-27
156,6TH VIEW STREET & W OCEAN VIEW AVENUE,Flooded street,2011-08-27 20:47:24,Irene-2011-08-27,2011-08-27,2011-08-27
157,1200 BLOCK OF LAFAYETTE BOULEVARD,Flooded street,2011-08-27 20:47:41,Irene-2011-08-27,2011-08-27,2011-08-27
158,HAMPTON BOULEVARD & LEXAN AVENUE,Flooded street,2011-08-27 20:48:02,Irene-2011-08-27,2011-08-27,2011-08-27
159,13TH VIEW STREET & W OCEAN VIEW AVENUE,Flooded street,2011-08-27 20:49:36,Irene-2011-08-27,2011-08-27,2011-08-27
160,14TH VIEW STREET & W OCEAN VIEW AVENUE,Flooded street,2011-08-27 20:50:29,Irene-2011-08-27,2011-08-27,2011-08-27
161,12TH VIEW STREET & W OCEAN VIEW AVENUE,Flooded street,2011-08-27 20:50:50,Irene-2011-08-27,2011-08-27,2011-08-27
162,8TH VIEW STREET & W OCEAN VIEW AVENUE,Flooded street,2011-08-27 20:52:00,Irene-2011-08-27,2011-08-27,2011-08-27
163,10TH VIEW STREET & W OCEAN VIEW AVENUE,Flooded street,2011-08-27 20:52:23,Irene-2011-08-27,2011-08-27,2011-08-27
164,49TH STREET & HAMPTON BOULEVARD,Flooded street,2011-08-27 21:14:45,Irene-2011-08-27,2011-08-27,2011-08-27
165,BEDFORD AVENUE & HAMPTON BOULEVARD,Flooded street,2011-08-27 21:15:55,Irene-2011-08-27,2011-08-27,2011-08-27
166,HAMPTON BOULEVARD & MANCHESTER AVENUE,Flooded street,2011-08-27 21:16:41,Irene-2011-08-27,2011-08-27,2011-08-27
167,HAMPTON BOULEVARD & HANOVER AVENUE,Flooded street,2011-08-27 21:17:37,Irene-2011-08-27,2011-08-27,2011-08-27
168,HAMPTON BOULEVARD & SURREY CRESCENT,Flooded street,2011-08-27 21:18:21,Irene-2011-08-27,2011-08-27,2011-08-27
169,1700 BLOCK OF FONTAINEBLEAU CRESCENT,Flooded street,2011-08-27 21:21:12,Irene-2011-08-27,2011-08-27,2011-08-27
170,HAMPTON BOULEVARD & BRUNSWICK AVENUE,Flooded street,2011-08-27 21:22:22,Irene-2011-08-27,2011-08-27,2011-08-27
171,HAMPTON BOULEVARD & WESTMORELAND AVENUE,Flooded street,2011-08-27 21:23:17,Irene-2011-08-27,2011-08-27,2011-08-27
172,HAMPTON BOULEVARD & ROCKBRIDGE AVENUE,Flooded street,2011-08-27 21:24:03,Irene-2011-08-27,2011-08-27,2011-08-27
173,HAMPTON BOULEVARD & MAGNOLIA AVENUE,Flooded street,2011-08-27 21:26:03,Irene-2011-08-27,2011-08-27,2011-08-27
174,HAMPTON BOULEVARD & BUCKINGHAM AVENUE,Flooded street,2011-08-27 21:26:40,Irene-2011-08-27,2011-08-27,2011-08-27
175,BOLLING AVENUE & HAMPTON BOULEVARD,Flooded street,2011-08-27 21:27:16,Irene-2011-08-27,2011-08-27,2011-08-27
176,5600 BLOCK OF TIDEWATER DRIVE,Flooded street,2011-08-27 22:08:44,Irene-2011-08-27,2011-08-27,2011-08-27
177,200 BLOCK OF KEMPSVILLE ROAD,Flooded street,2011-08-27 22:09:20,Irene-2011-08-27,2011-08-27,2011-08-27
178,CHURCH STREET & GOFF STREET,Flooded street,2011-08-27 22:12:59,Irene-2011-08-27,2011-08-27,2011-08-27
179,NORVIEW AVENUE & SEDGEFIELD DRIVE,Flooded street,2011-08-27 23:56:51,Irene-2011-08-27,2011-08-27,2011-08-27
180,800 BLOCK OF E BRAMBLETON AVENUE,Flooded street,2011-08-28 04:17:30,Irene-2011-08-27,2011-08-27,2011-08-28
181,1000 BLOCK OF E VIRGINIA BEACH BOULEVARD,Flooded street,2011-08-28 04:18:01,Irene-2011-08-27,2011-08-27,2011-08-28
182,1000 BLOCK OF E VIRGINIA BEACH BOULEVARD,Flooded underpass,2011-08-28 04:18:01,Irene-2011-08-27,2011-08-27,2011-08-28
183,LENS AVENUE & SHOOP AVENUE,Flooded street,2011-08-28 07:32:38,Irene-2011-08-27,2011-08-27,2011-08-28
184,1ST BAY STREET & E OCEAN VIEW AVENUE,Flooded street,2011-08-28 08:28:35,Irene-2011-08-27,2011-08-27,2011-08-28
185,E 21ST STREET & MONTICELLO AVENUE,Flooded underpass,2011-08-28 08:44:35,Irene-2011-08-27,2011-08-27,2011-08-28
186,E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE,Flooded underpass,2011-08-28 08:47:38,Irene-2011-08-27,2011-08-27,2011-08-28
187,600 E OCEAN VIEW AVENUE,Flooded street,2011-08-28 09:05:49,Irene-2011-08-27,2011-08-27,2011-08-28
188,615 W LITTLE CREEK ROAD,Flooded street,2011-08-28 09:42:39,Irene-2011-08-27,2011-08-27,2011-08-28
189,COLLEY AVENUE & RALEIGH AVENUE,Flooded street,2011-08-28 09:48:25,Irene-2011-08-27,2011-08-27,2011-08-28
190,8081 HAMPTON BOULEVARD,Flooded street,2011-08-28 10:22:12,Irene-2011-08-27,2011-08-27,2011-08-28
191,9000 HAMPTON BOULEVARD,Flooded street,2011-08-28 10:30:20,Irene-2011-08-27,2011-08-27,2011-08-28
192,400 BEECHWOOD AVENUE,Flooded street,2011-08-28 10:31:06,Irene-2011-08-27,2011-08-27,2011-08-28
193,DEGRASSE AVENUE & LAFAYETTE BOULEVARD,Flooded street,2011-08-28 10:37:04,Irene-2011-08-27,2011-08-27,2011-08-28
194,5765 LESLIE AVENUE,Flooded street,2011-08-28 10:42:09,Irene-2011-08-27,2011-08-27,2011-08-28
195,1018 BERKLEY AVENUE EX,Flooded street,2011-08-28 12:28:03,Irene-2011-08-27,2011-08-27,2011-08-28
196,508 E INDIAN RIVER ROAD,Flooded street,2011-08-28 12:28:51,Irene-2011-08-27,2011-08-27,2011-08-28
197,9600 BLOCK OF 10TH VIEW STREET,Flooded street,2011-08-28 13:02:41,Irene-2011-08-27,2011-08-27,2011-08-28
198,9600 BLOCK OF SALEM STREET,Flooded street,2011-08-28 13:03:00,Irene-2011-08-27,2011-08-27,2011-08-28
